question,resposta_modelo,resposta_correta,subject
"Let M be a single-tape, deterministic Turing machine with tape alphabet {blank,0,1}, and let C denote the (possibly infinite) computation of M starting with a blank tape. The input to each problem below is M, together with a positive integer n. Which of the following problems is (are) decidable?
I. The computation C lasts for at least n steps.
II. The computation C lasts for at least n steps, and M prints a 1 at some point after the nth step.
III. M scans at least n distinct tape squares during the computation C.",3,3,college_computer_science
"Which of the following are advantages of the use of panel data over pure cross-sectional or pure time-series modelling?

(i) The use of panel data can increase the number of degrees of freedom and therefore the power of tests

(ii) The use of panel data allows the average value of the dependent variable to vary either cross-sectionally or over time or both

(iii) The use of panel data enables the researcher allows the estimated relationship between the independent and dependent variables to vary either cross-sectionally or over time or both",3,1,econometrics
"Descartes says that, for all he knows, he may be _____.",0,0,philosophy
"In multiprogrammed systems it is advantageous if some programs such as editors and compilers can be shared by several users. Which of the following must be true of multiprogrammed systems in order that a single copy of a program can be shared by several users?
I. The program is a macro.
II. The program is recursive.
III. The program is reentrant.",3,2,college_computer_science
Which one of the following is NOT a plausible remedy for near multicollinearity?,0,3,econometrics
"If the standard tools for time-series analysis, such as estimation of the acf, pacf and spectral analysis, find no evidence of structure in the data, this implies that the data are which of the following?",2,1,econometrics
The view that art is defined by its form is known as _____.,2,2,philosophy
"Let G = (V, E) be a finite directed acyclic graph with |E| > 0. Which of the following must be true?
I. G has a vertex with no incoming edge.
II. G has a vertex with no outgoing edge.
III. G has an isolated vertex, that is, one with neither an incoming edge nor an outgoing edge.",3,3,college_computer_science
"According to Socrates, the value or quality of one's life depends on understanding the principles of, or basic rationale for human existence.  Without such knowledge (he suggests) life lacks virtue, because:",3,0,philosophy
How many categories of ethical principles do Diener and Crandell refer to?,1,1,philosophy
Which of the following is the name of the data structure in a compiler that is responsible for managing information about variables and their attributes?,2,2,college_computer_science
"In the case of the debtors, the moral argument against imprisoning A relies on:",2,1,philosophy
"For Plato, ordinary sensible objects exist and are knowable as examples or instances of Ideas or ""Forms"" that do not exist in our ordinary sensible world.  Forms do not exist in the sensible world because:",2,1,philosophy
Ross claims that we learn of our prima facie duties:,1,0,philosophy
Aesthetics deals with objects that are_____.,2,2,philosophy
"The four main divisions of philosophy are metaphysics, epistemology, axiology, and _____.",1,1,philosophy
Which one of the following is the most appropriate definition of a 99% confidence interval?,0,0,econometrics
The version of utilitarianism that Brandt defends makes rightness a function of:,3,2,philosophy
"A ""strictly binary tree"" is a binary tree in which every node that is not a leaf has two children. Suppose that for a class of strictly binary trees there exists c > 0 such that, for any tree in the class, the ratio of the lengths of any two root-to-leaf paths is bounded above by c. Which of the following best characterizes the height h of any tree in this class, where N is the number of nodes in the tree and N > 1 ?",2,2,college_computer_science
"If two variables, $x_t$ and $y_t$ are said to be cointegrated, which of the following statements are true?

i) $x_t$ and $y_t$ must both be stationary


ii) Only one linear combination of $x_t$ and $y_t$ will be stationary


iii) The cointegrating equation for $x_t$ and $y_t$ describes the short-run relationship

between the two series


iv) The residuals of a regression of $y_t$ on $x_t$ must be stationary",3,0,econometrics
"Let A be a finite set with m elements, and let B be a finite set with n elements. The number of distinct functions mapping A into B is",3,0,college_computer_science
Which of the following is a disadvantage of the random effects approach to estimating a panel model?,2,0,econometrics
"Which of the following conditions can be expressed by a Boolean formula in the Boolean variables p_1, p_2, p_3, p_4 and the connectives ∧,∨ (without ¬)?
I. At least three of p_1, p_2, p_3, p_4 are true.
II. Exactly three of p_1, p_2, p_3, p_4 are true.
III. An even number of p_1, p_2, p_3, p_4 are true.",3,0,college_computer_science
Stevenson claims that the primary use of ethical judgments is to:,2,1,philosophy
Which one of the following statements is true concerning alternative forecast accuracy measures?,3,3,econometrics
Which of the following statements is TRUE concerning the standard regression model?,3,0,econometrics
"Consider the following AR(2) process:

yt = 1.5 yt-1 - 0.5 yt-2 + ut

This is a",2,1,econometrics
"Consider a computer system in which processes can request and release one or more resources. Once a process has been granted a resource, the process has exclusive use of that resource until it is released. If a process requests a resource that is already in use, the process enters a queue for that resource, waiting until the resource is available. Which of the following will NOT deal effectively with the problem of deadlock?",3,0,college_computer_science
Feinberg claims that the best way to pursue happiness is to:,1,2,philosophy
Kant claims that the natural purpose of reason is to:,3,3,philosophy
Stevenson’s primary aim in this paper is to:,2,3,philosophy
"If a series, y, follows a random walk, what is the optimal one-step ahead forecast of y?",2,0,econometrics
"A 3-way, set-associative cache is",2,0,college_computer_science
Feinberg claims that most arguments for psychological egoism:,3,3,philosophy
"If an estimator is said to have minimum variance, which of the following statements is NOT implied?",3,3,econometrics
"Under which of the following situations would bootstrapping be preferred to pure simulation?

i) If it is desired that the distributional properties of the data in the experiment

are the same as those of some actual data


ii) If it is desired that the distributional properties of the data in the experiment

are known exactly


iii) If the distributional properties of the actual data are unknown


iv) If the sample of actual data available is very small",3,1,econometrics
An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers?,3,2,college_computer_science
An important formal characteristic of art is_____.,3,3,philosophy
"According to Sartre, there is at least one being in whom existence precedes essence, and this being is _____.",1,1,philosophy
Which of the following algorithms has running time Θ(n^2) in the worst case but Θ(n log n) on average?,3,3,college_computer_science
Any set of Boolean operators that is sufficient to represent all Boolean expressions is said to be complete. Which of the following is NOT complete?,3,2,college_computer_science
Which of the following ideas is not associated with the stance of situation ethics?,1,0,philosophy
Which one of the following is NOT an example of mis-specification of functional form?,3,3,econometrics
Hobbes defines injustice as:,2,1,philosophy
"According to Hume, reason:",1,0,philosophy
The language {ww | w in (0 + 1)*} is,3,1,college_computer_science
"Let G = (V, E) be a connected, undirected graph, and let a and b be two distinct vertices in V. Let P_1 be the problem of finding a shortest simple path between a and b, and let P_2 be the problem of finding a longest simple path between a and b. Which of the following statements about P_1 and P_2 is true?",3,1,college_computer_science
Which of the following is a disadvantage of the fixed effects approach to estimating a panel model?,3,2,econometrics
A prominent view is that an object has aesthetic value if it _____.,2,2,philosophy
"A particular parallel program computation requires 100 seconds when executed on a single processor. If 40 percent of this computation is ""inherently sequential"" (i.e., will not benefit from additional processors), then the theoretically best possible elapsed times for this program running with 2 and 4 processors, respectively, are",2,3,college_computer_science
Hobbes claims that all of the laws of nature can be summarized in the precept:,1,2,philosophy
Epicurus claims that all other virtues spring from:,1,0,philosophy
"Feinberg claims that when people are hungry, they typically desire:",2,0,philosophy
"Suppose that the following regression is estimated using 27 quarterly observations:

$y_t = \beta_1 + \beta_2 x_2 + \beta_3 x_{3t} + u_t$

What is the appropriate critical value for a 2-sided 5% size of test of $H_0: \beta_3 = 1$?",2,2,econometrics
The fixed effects panel model is also sometimes known as,2,1,econometrics
"According to Anscombe, “moral obligation” currently signifies:",3,3,philosophy
"A particular disk unit uses a bit string to record the occupancy or vacancy of its tracks, with O denoting vacant and 1 denoting occupied. A 32-bit segment of this string has the hexadecimal value D4FE2003. The percentage of occupied tracks for the corresponding part of the disk, to the nearest percent, is",2,3,college_computer_science
"According to Rawls, we can enter the original position:",2,1,philosophy
"Suppose that two researchers, using the same 3 variables and the same 250 observations on each variable, estimate a VAR. One estimates a VAR(6), while the other estimates a VAR(4). The determinants of the variance-covariance matrices of the residuals for each VAR are 0.0036 and 0.0049 respectively. What is the values of the test statistic for performing a test of whether the VAR(6) can be restricted to a VAR(4)?",2,0,econometrics
"A white noise process will have

(i) A zero mean

(ii) A constant variance

(iii) Autocovariances that are constant

(iv) Autocovariances that are zero except at lag zero",3,0,econometrics
Nagel claims that the problem of moral luck is closely connected to the problem of:,2,1,philosophy
"In the NoNicks operating system, the time required by a single file-read operation has four nonoverlapping components:
disk seek time-25 msec
disk latency time-8 msec
disk transfer time- 1 msec per 1,000 bytes
operating system overhead-1 msec per 1,000 bytes + 10 msec
In version 1 of the system, the file read retrieved blocks of 1,000 bytes. In version 2, the file read (along with the underlying layout on disk) was modified to retrieve blocks of 4,000 bytes. The ratio of-the time required to read a large file under version 2 to the time required to read the same large file under version 1 is approximately",2,1,college_computer_science
"Baier claims that for a rule to belong the morality of a group, the rule must be:",3,3,philosophy
"The hit ratio of a cache memory is the percentage of accesses (reads and writes) for which data are found in the cache. Write-through is a policy whereby every write operation updates main memory. Write-back is a policy whereby a write operation to a line found in the cache does not affect main memory until the line is evicted from the cache. Write-allocation is a policy whereby a cache line is allocated and loaded on a write-miss. If it is assumed that write-allocation is always used, which of the following is true?",2,2,college_computer_science
Aristotle ends the Ethics with a segue to a discussion of:,2,2,philosophy
"Anscombe claims that on Sidgwick’s view, the badness of an action must be estimated in light of:",1,1,philosophy
"According to Epicurus, a law is unjust when:",3,3,philosophy
"Local caching of files is common in distributed file systems, but it has the disadvantage that",2,0,college_computer_science
"In systems with support for automatic memory management, a garbage collector typically has the responsibility for reclaiming allocated memory objects whose contents cannot affect any future legal computation. Such objects are identified by determining that they cannot be reached from a root set. Which of the following is NOT part of the root set in a typical garbage collector?",3,1,college_computer_science
"Of the following, which best characterizes computers that use memory-mapped I/O?",1,1,college_computer_science
Which one of the following statements best describes the algebraic representation of the fitted regression line?,3,1,econometrics
"In Cicero’s view, each person is invested by Nature with two characters:",1,0,philosophy
Hare claims that all moral arguments are:,2,2,philosophy
Which one of the following would be the most appropriate as a 95% (two-sided) confidence interval for the intercept term of the model given in question 21?,1,3,econometrics
"At time 0, five jobs are available for execution on a single processor, with service times of 25, 15, 5, 3, and 2 time units. Which of the following is the minimum value of the average completion time of these jobs?",2,2,college_computer_science
Augustine holds that we can never err:,1,1,philosophy
Da Vinci's Mona Lisa is_____.,0,0,philosophy
"If OLS is applied separately to each equation that is part of a simultaneous system, the resulting estimates will be",2,2,econometrics
"Of the following problems concerning a given undirected graph G, which is currently known to be solvable in polynomial time?",3,1,college_computer_science
"Which of the following are alternative names for the independent variable (usually denoted by x) in linear regression analysis?

(i) The regressor

(ii) The regressand

(iii) The causal variable

(iv) The effect variable",3,1,econometrics
"Consider the following sample autocorrelation estimates obtained using 250 data points:

1) Lag 1 2 3

2) Coefficient 0.2 -0.15 -0.1

3) Assuming that the coefficients are approximately normally distributed, which of the coefficients are statistically significant at the 5% level?",2,1,econometrics
"The ""within transform"" involves",1,1,econometrics
"""Magic memory""' has two operations: Read and Clear. Both are indivisible and mutually exclusive. Clear sets the magic memory to zero. Read returns a value that represents the number of Read operations since the last Clear operation. Which of the following is (are) true of ""Magic memory""?
I. It can provide the functionality of an atomic Test-and-Set.
II. It can be used to coordinate processes running on a shared-memory multiprocessor.
III. It is only useful on a multiprocessor.",3,3,college_computer_science
Which of the following statements is true concerning the population regression function (PRF) and sample regression function (SRF)?,1,3,econometrics
"Nagel claims that prior to reflection, it is plausible that people cannot be morally assessed for:",3,2,philosophy
"To explain the notion of a prima facie duty, Ross draws an analogy with:",1,0,philosophy
"Consider the collection of all undirected graphs with 10 nodes and 6 edges. Let M and m, respectively, be the maximum and minimum number of connected components in any graph in the collection. If a graph has no selfloops and there is at most one edge between any pair of nodes, which of the following is true?",3,2,college_computer_science
A Hausman test would be used for,3,1,econometrics
"Which of the following problems can be solved by a standard greedy algorithm?
I. Finding a minimum spanning tree in an undirected graph with positive-integer edge weights
II. Finding a maximum clique in an undirected graph
III. Finding a maximum flow from a source node to a sink node in a directed graph with positive-integer edge capacities",3,0,college_computer_science
"According to Stevenson, empirical methods:",2,1,philosophy
"According to Hume, morality is ultimately based on:",3,3,philosophy
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",0,0,econometrics
"An Euler circuit of an undirected graph is a circuit in which each edge of the graph appears exactly once. Which of the following undirected graphs must have an Euler circuit?
I. A complete graph with 12 vertices
II. A complete graph with 13 vertices
III. A tree with 13 vertices",3,1,college_computer_science
"Under the null hypothesis of a Bera-Jarque test, the distribution has",3,1,econometrics
"Which of the following estimation techniques are available for the estimation of over-identified systems of simultaneous equations?

i) OLS

ii) ILS

iii) 2SLS

iv) IV",3,1,econometrics
"Suppose that a certain software product has a mean time between failures of 10,000 hours and has a mean time to repair of 20 hours. If the product is used by 100 customers, what is its availability?",2,3,college_computer_science
Which of the following language features requires that stack-based storage allocation be used rather than static allocation?,0,0,college_computer_science
Aristotle claims that:,1,0,philosophy
"Consider the following model for $y_t$:

$y_t = \mu + \lambda t + u_t$

Which one of the following most accurately describes the process for $y_t$?",3,2,econometrics
"Two processors, M-5 and M-7, implement the same instruction set. Processor M-5 uses a 5-stage pipeline and a clock cycle of 10 nanoseconds. Processor M-7 uses a 7-stage pipeline and a clock cycle of 7.5 nanoseconds. Which of the following is (are) true?
I. M-7’s pipeline has better maximum throughput than M-5’s pipeline.
II. The latency of a single instruction is shorter on M-7’s pipeline than on M-5’s pipeline.
III. Programs executing on M-7 will always run faster than programs executing on M-5.",2,0,college_computer_science
"In Aquinas’s view, man’s ultimate happiness consists in:",2,3,philosophy
The access matrix approach to protection has the difficulty that,3,0,college_computer_science
Which of the following statements concerning the regression population and sample is FALSE?,2,2,econometrics
"Which of the following statements are correct concerning the use of antithetic variates as part of a Monte Carlo experiment?

i) Antithetic variates work by reducing the number of replications required to cover the whole probability space

ii) Antithetic variates involve employing a similar variable to that used in the simulation, but whose properties are known analytically

iii) Antithetic variates involve using the negative of each of the random draws and repeating the experiment using those values as the draws

iv) Antithetic variates involve taking one over each of the random draws and repeating the experiment using those values as the draws",3,1,econometrics
"Which of the following statements about horizontal versus vertical microarchitecture is (are) true?
I. Programs for horizontal architectures require more time steps than those for vertical architectures.
II. Horizontal microinstructions are unencoded.
III. Horizontal microinstructions usually have a single opcode and multiple operand specifiers.",3,1,college_computer_science
"Two single-user workstations are attached to the same local area network. On one of these workstations, file pages are accessed over the network from a file server; the average access time per page is 0.1 second. On the other of these workstations, file pages are accessed from a local disk; the average access time per page is 0.05 second. A particular compilation requires 30 seconds of computation and 200 file page accesses. What is the ratio of the total time required by this compilation if run on the diskless (file server) workstation to the total time required if run on the workstation with the local disk, if it is assumed that computation is not overlapped with file access?",2,1,college_computer_science
Which of the following is correct concerning logit and probit models?,3,0,econometrics
"Which of the following statements are true concerning the Box-Jenkins approach to diagnostic testing for ARMA models?

(i) The tests will show whether the identified model is either too large or too small

(ii) The tests involve checking the model residuals for autocorrelation, heteroscedasticity, and non-normality

(iii) If the model suggested at the identification stage is appropriate, the acf and pacf for the residuals should show no additional structure

(iv) If the model suggested at the identification stage is appropriate, the coefficients on the additional variables under the overfitting approach will be statistically insignificant",3,0,econometrics
Plato's view is that true beauty is _____.,3,3,philosophy
Consider a series that follows an MA(1) with zero mean and a moving average coefficient of 0.4. What is the value of the autocovariance at lag 1?,2,3,econometrics
Craig says an actually infinite number of things _____.,2,3,philosophy
"Mergesort works by splitting a list of n numbers in half, sorting each half recursively, and merging the two halves. Which of the following data structures will allow mergesort to work in O(n log n) time?
I. A singly linked list
II. A doubly linked list
III. An array",3,3,college_computer_science
"Consider the representation of six-bit numbers by two's complement, one's complement, or by sign and magnitude. In which representation is there overflow from the addition of the integers 011000 and 011000?",2,3,college_computer_science
"Aristotle says  that what makes things be what they are--their essence--does not exist apart from individ-uals that exist in the world.  So if all the members of a species were destroyed, then their essence or form:",3,0,philosophy
Which of the following is NOT a property of bitmap graphics?,1,2,college_computer_science
"Nussbaum claims that in cross-cultural communication, inhabitants of different conceptual schemes tend to view their interaction:",1,3,philosophy
"You want to cluster 7 points into 3 clusters using the k-Means Clustering algorithm. Suppose after the first iteration, clusters C1, C2 and C3 contain the following two-dimensional points: C1 contains the 2 points: {(0,6), (6,0)} C2 contains the 3 points: {(2,2), (4,4), (6,6)} C3 contains the 2 points: {(5,5), (7,7)} What are the cluster centers computed for these 3 clusters?",1,0,college_computer_science
If a malicious process is granted temporary administrator-level access to a system,3,3,college_computer_science
"Which of the following are disadvantages of the Dickey-Fuller / Engle-Granger approach to testing for cointegration and modelling cointegrating relationships?

i) Only one cointegrating relationship can be estimated

ii) Particularly for small samples. There is a high chance of the tests suggestingthat variables are not cointegrated when they are

iii) It is not possible to make inferences on the cointegrating regression

iv) The procedure forces the researcher to specify which is the dependent variable and which are the independent variables.",3,3,econometrics
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,3,2,econometrics
Many cryptographic protocols base their security on assumptions about the computational difficulty of integer factorization. Integer factorization serves this purpose because we believe that,2,0,college_computer_science
"Which of the following statements are true concerning the acf and pacf?

(i) The acf and pacf are often hard to interpret in practice

(ii) The acf and pacf can be difficult to calculate for some data sets

(iii) Information criteria represent an alternative approach to model order determination

(iv) If applied correctly, the acf and pacf will always deliver unique model selections",3,2,econometrics
"Languages with a structure that implements abstract data types (e.g., a C++ class) can prevent access to components of this structure by all operations except those that are part of this structure. However, definitions of such a structure often contain declarations of components of the structure (e.g., the header file for a C++ class may contain declarations of its private components). For such a language, an object's name could be bound at run time to stack storage for its component values (direct representation) or to a stack pointer referencing heap storage for its component values (indirect representation). Which of the following statements about comparisons between direct and indirect representations is (are) true?
I. Indirect representation noticeably increases compilation time.
II. Direct representation decreases the time needed to access components of a variable.
III. When the storage size of some private component of a variable changes, indirect representation minimizes the number of recompilations of source modules that must be performed.",3,3,college_computer_science
"In a pipelined RISC computer where all arithmetic instructions have the same CPI (cycles per instruction), which of the following actions would improve the execution time of a typical program?
I. Increasing the clock cycle rate
II. Disallowing any forwarding in the pipeline
III. Doubling the sizes of the instruction cache and the data cache without changing the clock cycle time",3,3,college_computer_science
"Like most rationalists, Plato defines knowledge as justified true belief.  In terms of this definition, we might be able to claim to know something as true which might actually be false, but it is impossible for us really to know something that is false.  Why?",2,0,philosophy
"Of the following, which gives the best upper bound for the value of f(N) where f is a solution to the recurrence f(2N + 1) = f(2N) = f(N) + log N for N >= 1, with f(1) = 0?",2,3,college_computer_science
"Which of the following is an equivalent expression for saying that the explanatory variable is ""non-stochastic""?",1,1,econometrics
The order condition is,1,1,econometrics
Which of the following characteristics of a programming language is best specified using a context-free grammar?,2,2,college_computer_science
"Suppose that we have estimated a GARCH model for daily equity returns, and we are interested in producing a 10-day forecast of the volatility (measured by the standard deviation of returns) for use in a value at risk model. How could such a forecast most validly be calculated?",2,1,econometrics
"Which of the following considerations applies (apply) to choosing the page size in a paging system?
I. An advantage of larger pages is that they lead to smaller page tables.
II. An advantage of smaller pages is that they lead to less waste due to internal fragmentation.
III. Normally, the dominant factor in disk access time is not dependent on page length, so longer pages can be used advantageously.",3,3,college_computer_science
Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:,1,1,philosophy
"Which of the following statements will be true if the number of replications used in a Monte Carlo study is small?

i) The statistic of interest may be estimated imprecisely


ii) The results may be affected by unrepresentative combinations of random draws


iii) The standard errors on the estimated quantities may be unacceptably large


iv) Variance reduction techniques can be used to reduce the standard errors",3,3,econometrics
