db_id,pergunta,query_correta,query_gerada,db_path,status_execucao
concert_singer,How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT T1.Country, COUNT(*) FROM singer AS T1 JOIN concert AS T2 ON T1.Singer_ID = (SELECT Singer_ID FROM singer_in_concert WHERE concert_ID = T2.concert_ID) GROUP BY T1.Country",spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT T3.Song_Name FROM singer AS T1 JOIN concert AS T2 ON T1.Singer_ID = (SELECT Singer_ID FROM singer_in_concert WHERE concert_ID = T2.concert_ID) JOIN singer AS T3 ON T1.Singer_ID = T3.Singer_ID WHERE T3.Age > (SELECT AVG(Age) FROM singer),spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT T3.Song_Name FROM singer AS T1 JOIN concert AS T2 ON T1.Singer_ID = (SELECT Singer_ID FROM singer_in_concert WHERE concert_ID = T2.concert_ID) JOIN singer AS T3 ON T1.Singer_ID = T3.Singer_ID WHERE T3.Age > (SELECT AVG(Age) FROM singer),spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT T1.Location, T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T1.Capacity BETWEEN 5000 AND 10000",spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium","SELECT MAX(Average) AS max_capacity, AVG(Average) AS avg_capacity FROM stadium",spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,What is the average and maximum capacities for all stadiums ?,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(Capacity) AS avg_capacity, MAX(Capacity) AS max_capacity FROM stadium",spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT T1.Name, T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID ORDER BY T2.Average_number DESC LIMIT 1",spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,What is the name and capacity for the stadium with the highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT T1.Name, T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID ORDER BY T1.Average DESC LIMIT 1",spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concert WHERE YEAR IN (2014, 2015)",spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concert WHERE YEAR IN (2014, 2015)",spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,Show the stadium name and the number of concerts in each stadium.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT T1.Name, COUNT(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T2.Name",spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,"For each stadium, how many concerts play there?","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT T1.Name, COUNT(T2.concert_ID) FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T1.Name",spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.Name, T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE YEAR(T2.Year) >= 2014 GROUP BY T1.Stadium_ID ORDER BY COUNT(T2.concert_ID) DESC LIMIT 1",spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT T1.Name, T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE YEAR(T2.Year) > 2013 GROUP BY T1.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1",spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,Which year has most number of concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY COUNT(*) DESC LIMIT 1,spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,What is the year that had the most concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT T2.Year FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T1.Year ORDER BY COUNT(*) DESC LIMIT 1,spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,Show the stadium names without any concert.,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert),spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,What are the names of the stadiums without any concerts?,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert),spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,Show countries where a singer above age 40 and a singer below 30 are from.,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,SELECT T1.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Age > 40 INTERSECT SELECT T1.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Age < 30,spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,Show names for all stadiums except for stadiums having a concert in year 2014.,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert WHERE YEAR = 2014),spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,What are the names of all stadiums that did not have a concert in 2014?,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year!= 2014,spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,Show the name and theme for all concerts and the number of singers in each concert.,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT T1.concert_Name, T1.theme, COUNT(T2.Singer_ID) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID GROUP BY T1.concert_Name, T1.theme",spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,"What are the names , themes , and number of singers for every concert ?","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT T1.Name, T1.Theme, COUNT(T2.Singer_ID) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID GROUP BY T1.concert_Name",spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,List singer names and number of concerts for each singer.,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT T1.Name, COUNT(T2.concert_ID) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.Name",spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,What are the names of the singers and number of concerts for each person?,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT T1.Name, COUNT(T2.concert_ID) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.Name",spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,List all singer names in concerts in year 2014.,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT T1.Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.concert_ID = T3.concert_ID WHERE T3.Year = 2014,spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,What are the names of the singers who performed in a concert in 2014?,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,"SELECT T1.Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE SUBSTR(T2.concert_ID, -4, 4) = '2014'",spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,what is the name and nation of the singer who have a song having 'Hey' in its name?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT T1.Name, T1.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Song_Name LIKE '%Hey%'",spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT T1.Name, T1.Country FROM singer AS T1 JOIN concert AS T2 ON T1.Singer_ID = ANY (SELECT Singer_ID FROM singer_in_concert WHERE concert_ID = T2.concert_ID) WHERE T2.concert_Name LIKE '%Hey%'",spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT T1.Name, T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year IN (2014, 2015)",spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT T1.Location, T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year IN (2014, 2015)",spider_data/database/concert_singer/concert_singer.sqlite,Falha
concert_singer,Find the number of concerts happened in the stadium with the highest capacity .,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) FROM concert WHERE Stadium_ID IN (SELECT Stadium_ID FROM stadium WHERE Capacity = ( SELECT MAX(Capacity ) FROM stadium ) ),spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
concert_singer,What are the number of concerts that occurred in the stadium with the largest capacity ?,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) FROM concert WHERE Stadium_ID IN (SELECT Stadium_ID FROM stadium WHERE Capacity = ( SELECT MAX(Capacity) FROM stadium ) ),spider_data/database/concert_singer/concert_singer.sqlite,Sucesso
pets_1,Find the number of pets whose weight is heavier than 10.,SELECT count(*) FROM pets WHERE weight  >  10,SELECT COUNT(*) FROM Pets WHERE weight > 10,spider_data/database/pets_1/pets_1.sqlite,Sucesso
pets_1,How many pets have a greater weight than 10?,SELECT count(*) FROM pets WHERE weight  >  10,SELECT COUNT(*) FROM Pets WHERE weight > 10,spider_data/database/pets_1/pets_1.sqlite,Sucesso
pets_1,Find the weight of the youngest dog.,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,"SELECT T2.weight FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID = T2.StuID WHERE T1.PetType = ""Dog"" ORDER BY T1.pet_age LIMIT 1",spider_data/database/pets_1/pets_1.sqlite,Falha
pets_1,How much does the youngest dog weigh?,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,"SELECT T2.weight FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID = T2.StuID WHERE T1.PetType = ""Dog"" AND T1.pet_age = ( SELECT MIN(pet_age) FROM Pets WHERE PetType = ""Dog"" )",spider_data/database/pets_1/pets_1.sqlite,Falha
pets_1,Find the maximum weight for each type of pet. List the maximum weight and pet type.,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT T2.weight, T1.PetType FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID = T2.StuID GROUP BY T1.PetType ORDER BY T2.weight DESC LIMIT 1",spider_data/database/pets_1/pets_1.sqlite,Falha
